a_0,a_1,a_2,class
AY,P,IH,R
S,AH,B,S
AH,N,S,IY
AH,L,AW,T
B,IY,P,R
S,T,IY,L
ER,D,IH,N
AE,N,AH,D
JH,AH,V,K
N,K,AA,S
AH,N,EH,R
L,OW,DH,AH
V,IY,EH,S
N,JH,K,AH
Z,T,UW,S
M,EH,N,T
L,Y,AH,N
D,B,IY,IH
AO,R,SH,IH
T,M,AH,N
V,D,ER,N
AE,S,AH,Z
L,OW,ER,K
EH,P,R,AH
S,AH,K,S
AE,T,ER,AH
EH,N,T,AH
K,W,EH,N
IH,V,AH,N
AO,R,HH,EH
K,SH,AH,N
T,UW,AH,S
F,W,IY,AH
AH,T,P,L
D,AH,K,T
ER,Z,W,IH
S,ER,P,R
AO,R,DH,IH
IY,R,EH,D
AH,M,ER,Z
W,IH,SH,T
IY,AA,N,T
IH,DH,M,AH
N,S,IY,S
K,AA,N,AH
B,IY,AH,S
EH,S,EH,N
N,F,AO,R
B,EH,N,T
S,P,EH,N
Z,S,EH,D
P,L,IY,T
NG,R,IH,S
T,K,AH,N
T,K,AO,R
Z,SH,UH,D
T,AA,K,T
K,AO,R,D
EH,R,IH,T
P,ER,SH,EH
W,AH,Z,IH
Z,AH,V,T
V,EH,N,T
UW,AO,R,S
AA,R,T,IH
S,CH,EY,N
AH,M,P,AH
IH,N,IH,T
B,IY,R,IY
S,EH,K,AH
N,AH,L,S
V,IY,EH,S
K,EY,SH,AH
DH,AH,AA,R
M,AH,N,T
IY,S,T,AH
IY,L,IY,S
W,OW,T,AH
IH,NG,IH,N
R,AE,F,T
T,G,AH,N
JH,N,EH,T
M,AH,N,S
AH,N,D,AH
AH,W,IY,K
IH,K,AO,Z
D,M,AA,R
OW,T,AH,L
AH,L,S,IH
IY,V,DH,AH
AH,N,AH,L
AE,N,D,AH
Z,N,OW,AH
W,ER,EH,S
T,S,IH,T
T,S,S,T
L,IH,K,L
R,K,AH,T
D,IY,EH,R
IH,T,IY,IH
DH,AH,D,R
D,AH,K,T
T,S,OW,L
AH,V,DH,AH
T,B,AA,T
T,AH,V,S
S,AH,B,AH
T,IY,CH,K
AH,S,EH,D
R,B,EY,S
AE,Z,B,IH
AE,S,T,IH
S,T,B,IY
AY,S,AH,Z
AH,M,P,AH
M,P,AH,N
S,AH,P,AH
ER,T,OW,L
AO,R,AH,T
D,AH,B,EH
IY,L,D,IH
R,M,ER,N
T,IH,T,S
