a_0,a_1,a_2,class
EY,T,DH,IH
M,AE,N,AH
AH,V,IH,T
AH,V,S,IH
OW,S,EH,D
ER,Z,AE,T
N,D,ER,S
K,T,T,EH
S,AH,N,S
Z,IH,T,S
Y,AH,L,AH
N,AA,T,S
IH,M,P,R
V,EH,JH,T
IH,M,IY,D
SH,AH,N,Z
D,W,AA,Z
K,AH,N,T
Z,P,ER,S
IH,NG,R,IH
AO,R,T,K
V,IY,AH,S
S,IH,M,AH
AE,P,S,T
K,SH,AH,N
IY,Z,HH,AH
IH,V,EH,N
EH,N,S,K
EH,N,T,AH
AO,R,IH,L
Z,IH,T,S
S,P,AH,S
T,S,EH,D
R,D,W,IH
AO,R,D,IH
AH,N,T,K
Z,IH,T,IH
Z,D,IH,D
L,IH,S,T
SH,AH,N,Z
D,UW,S,T
T,T,EH,L
UH,L,SH,EH
ER,IH,NG,S
AA,R,IH,K
B,IH,L,IH
T,IY,IH,T
T,OW,L,D
K,R,IY,S
N,T,AA,N
Z,G,UH,D
P,EY,M,AH
L,EH,S,AH
V,AE,N,IH
EH,S,T,EH
R,AY,S,AH
IY,JH,AH,N
Y,UW,S,IH
T,AH,N,T
M,T,AE,K
TH,R,EH,T
D,T,UW,EH
T,L,IY,N
T,Y,IH,R
L,AY,Z,D
S,P,EH,K
T,S,AE,N
AE,S,AH,T
S,CH,AH,N
AH,N,T,R
EY,M,AH,N
P,R,AY,S
UW,M,AH,N
W,UH,D,K
IH,S,T,S
T,AH,N,D
D,K,AA,N
NG,S,IH,S
EY,AA,R,S
UW,P,ER,S
JH,M,AA,D
N,D,Z,T
T,V,AE,L
Y,UW,K,AH
AH,N,AE,N
D,AH,M,AH
UH,T,DH,AH
N,D,DH,AH
IH,K,AA,N
N,HH,IY,S
HH,IY,S,EH
AH,T,IH,K
AE,K,T,S
K,S,Y,IH
ER,S,AH,S
K,AH,N,S
NG,EH,K,S
M,IH,N,T
L,CH,ER,AH
R,AH,D,AH
S,T,IH,K
AH,N,S,IH
V,DH,AH,IH
DH,AH,B,AH
EY,SH,AH,N
T,S,B,AH
R,IY,AH,L
T,AH,K,AH
AH,M,DH,EH
T,DH,EH,R
AH,P,AA,Z
EH,D,DH,AH
EH,S,D,IH
AH,P,AE,S
EH,SH,AH,N
AH,N,T,S
IH,SH,M,AH
D,EH,K,S
R,OW,T,AH
L,V,D,D
EH,S,D,IH
S,IH,N,D
D,L,EH,D
Y,IH,R,AH
AO,R,IH,N
AH,L,EH,T
P,R,AY,S
IY,AY,S,AH
N,DH,AH,N
P,R,IH,N
AE,NG,K,S
OW,IH,NG,T
S,AH,Z,AH
AH,L,IY,T
P,AO,R,T
T,R,EY,D
F,AH,G,R
EY,D,IH,D
P,AA,R,T
G,EH,N,S
EY,SH,AH,N
D,P,R,AH
B,ER,TH,S
AA,R,OW,IH
G,R,EY,S
W,AH,N,AH
Z,S,EY,IH
N,JH,AH,N
N,IY,Z,T
ER,AH,L,IH
R,D,IH,D
N,AH,N,AH
K,K,R,EH
B,L,IY,Z
DH,AH,G,AH
S,B,IH,L
N,F,AO,R
IH,S,T,AH
AH,T,S,T
D,EH,S,L
S,AH,N,D
N,Z,AA,N
AE,T,OY,L
P,AO,R,T
DH,AH,G,AH
P,R,EH,Z
N,SH,AH,L
R,IH,K,S
IH,M,AE,N
EH,S,S,T
AW,N,F,R
F,AH,S,AH
P,AH,S,IH
B,AE,NG,K
IH,S,T,AH
Y,UW,S,AH
AH,HH,OW,L
EY,JH,AH,N
AH,N,T,R
NG,L,OW,N
AH,L,S,IH
AH,L,IY,D
EY,T,AH,D
AO,R,S,IH
IH,K,Y,AH
AY,S,AH,Z
L,M,IH,N
M,S,EY,IH
AH,N,S,AH
M,AH,N,T
N,D,D,IH
HH,IY,S,EH
AH,F,S,S
S,UW,IH,T
AH,V,AE,K
AH,L,IH,K
SH,OW,AH,S
B,IH,Z,N
Z,AH,N,D
T,M,AO,R
EH,M,B,L
HH,AE,N,S
S,P,EH,K
AH,V,P,R
N,L,AE,S
AH,N,AH,N
IH,V,EH,L
DH,W,AH,N
Y,EH,T,EH
M,AH,N,T
AH,K,T,S
AA,T,AH,N
AW,T,K,AH
AH,N,D,IH
V,AH,B,AH
Z,HH,EH,L
IY,CH,ER,Z
S,K,AE,N
N,UW,IH,N
AH,AE,F,T
AH,N,Z,IH
N,T,R,AH
L,Y,AH,N
AH,N,AE,N
T,B,AA,N
AH,N,AA,N
AH,N,AW,T
B,IH,G,IH
M,P,AH,N
AH,F,EH,D
M,AH,N,T
R,AE,M,T
R,DH,AH,S
S,M,AH,N
AY,N,AA,R
IY,V,IY,AH
ER,D,AA,K
AH,N,Z,AH
AH,Z,AA,N
R,N,UW,R
Z,IH,SH,AH
AY,N,AH,L
IH,N,V,IH
JH,AA,B,Z
AH,N,Y,EH
AO,R,Y,IH
P,T,IH,N
AH,K,AW,N
N,AH,S,IH
OW,T,AH,D
R,AH,L,IH
T,IH,Z,R
M,AH,V,R
UW,HH,OW,L
S,T,OW,T
M,P,AH,N
W,IH,L,EH
EH,N,IY,AH
AE,T,AO,L
JH,ER,DH,IH
Z,AY,N,IH
AH,T,EH,N
B,IY,N,EH
L,IY,W,EH
ER,K,L,IH
EH,L,EH,K
AH,S,T,AH
D,EY,AW,T
AO,R,W,AH
M,IH,N,IH
T,S,T,R
Y,IH,R,N
TH,IY,S,T
IH,N,K,L
N,D,W,AH
R,R,IY,S
Z,OY,L,S
AH,L,ER,T
R,OW,P,R
T,T,AE,K
AH,N,T,AH
Z,P,R,AH
F,EY,L,D
SH,EH,R,Z
P,R,AY,S
AH,D,IY,IH
K,T,S,AH
K,AH,N,S
R,EH,S,T
Z,AH,N,D
AH,K,AH,L
T,AH,D,AH
L,IH,NG,AH
AH,V,S,EH
N,D,W,IH
S,AH,L,AH
IH,M,EY,N
AE,K,T,R
IH,ZH,AH,N
Z,T,OW,T
SH,IY,EY,T
EH,N,T,IH
N,JH,AH,Z
EH,N,T,R
R,UW,V,AH
T,AW,ER,K
T,M,AH,N
D,IH,K,AH
IH,N,UW,D
N,T,D,AH
D,B,AE,K
Z,AH,L,Z
P,R,AH,D
AH,L,Y,IH
G,N,AH,L
V,EH,S,T
D,HH,AE,Z
P,T,AH,N
HH,AE,Z,AH
IY,M,AH,N
R,AA,R,N
AY,T,UW,K
IY,M,AH,N
N,T,AO,K
M,P,AH,N
P,Y,UW,T
D,IH,L,IH
IH,S,AY,D
IY,R,EY,T
D,IH,N,AH
EH,R,Z,AH
SH,AH,N,K
AE,N,AW,T
N,IH,K,IH
D,AH,L,Z
N,Z,IH,N
EH,D,IH,T
L,L,AO,S
F,L,OW,T
M,Z,TH,R
JH,ER,T,R
EH,D,DH,AH
P,R,AY,S
AH,N,W,IH
B,AE,NG,K
IH,N,AE,N
AH,N,IH,N
D,AH,S,T
T,IH,Z,EH
EH,T,IH,N
P,OW,Z,D
S,T,R,EH
D,W,AH,N
Z,K,AH,N
ER,B,AY,IH
IH,N,S,EH
AE,T,DH,AH
N,F,AH,D
S,AH,K,S
AH,S,T,R
AH,K,AO,R
K,AO,R,D
HH,IH,Z,N
ZH,AH,N,AH
W,IY,K,N
IY,T,UW,K
ER,S,T,S
M,AA,R,K
HH,AE,V,T
D,S,AO,R
AH,G,EY,T
F,L,AY,IH
R,T,ER,AH
D,AH,V,IH
N,AE,K,T
P,EH,K,T
Z,T,AH,D
IH,N,K,R
R,IH,Z,AH
R,T,S,T
AW,T,IH,T
M,IH,N,D
T,UW,AE,T
R,AW,N,Z
OW,AE,Z,AH
AE,SH,AH,N
AH,M,EY,N
AH,S,T,D
N,T,AH,N
AH,B,AH,L
