a_0,a_1,a_2,class
AH,M,AH,N
R,EY,SH,AH
EH,S,S,EH
L,Y,AH,N
Z,F,AO,R
N,AH,D,IH
DH,AH,T,EH
P,L,AE,N
IH,K,L,IY
R,AA,F,AH
K,HH,OW,L
IH,T,IH,Z
ER,D,IH,S
D,IH,V,EH
JH,UW,L,IH
S,IH,Z,AH
N,D,ER,Z
K,L,AE,S
OW,Z,S,ER
R,AH,D,Z
R,IH,Z,AH
AY,M,T,AH
AH,D,EH,N
N,AA,N,D
K,SH,AH,N
NG,DH,AH,S
R,K,AH,T
T,AH,D,AH
EH,M,B,ER
P,L,AE,N
Z,W,UH,D
T,AH,N,S
Z,V,IY,EH
T,AH,T,IH
N,D,AH,D
P,AO,R,T
AH,Z,DH,AH
K,S,AH,N
M,Z,AH,N
IH,T,IH,Z
AA,K,AE,K
AH,P,AE,S
UW,SH,EH,R
OW,L,D,ER
ER,R,AY,T
IH,T,AH,N
P,EH,K,T
DH,OW,Z,K
D,IH,NG,Z
AA,N,T,R
Z,EY,SH,AH
F,AA,P,ER
N,IY,S,EH
IH,K,W,EH
N,D,P,R
UW,HH,OW,L
AA,M,AH,N
AA,K,AH,N
D,HH,IH,Z
S,OW,V,ER
AH,N,EH,R
D,IH,T,S
HH,AE,P,AH
AH,T,R,IH
R,K,AH,T
R,IH,T,IH
G,EY,SH,AH
IH,N,AH,L
Z,IH,T,S
AH,P,AH,L
EH,D,IH,T
K,SH,AH,N
ER,N,UW,N
B,AH,L,T
AA,Z,F,ER
EH,D,AH,L
R,AH,S,T
T,B,AE,K
IH,DH,M,EH
M,EH,N,IY
AA,R,K,AH
AH,JH,IH,T
S,T,IH,L
Z,F,EH,L
R,F,UW,D
M,AH,N,T
AH,N,T,L
T,R,EY,D
M,AA,R,K
IH,N,T,EH
IH,T,S,AH
AH,N,T,S
AH,L,IH,T
S,EH,N,T
N,D,AH,K
IH,N,D,AH
L,HH,OW,L
G,EY,T,S
G,OW,W,EH
D,EH,L,AH
UW,S,ER,Z
IH,DH,AH,S
IY,F,AO,R
IH,NG,AA,N
T,B,ER,D
F,ER,AH,N
AE,Z,S,T
F,AO,L,IH
AH,N,S,AH
IY,B,IH,N
T,S,IH,T
N,T,R,IY
N,D,ER,R
IH,Z,N,IY
R,AY,T,IH
T,IH,V,IH
AH,N,W,IH
N,T,AE,K
T,S,EH,S
K,AE,S,T
AH,S,P,EH
R,EY,T,IH
EY,M,N,AH
AA,Z,IH,K
DH,AH,K,AH
AA,R,K,AH
DH,L,AO,S
D,B,IH,N
N,AH,S,T
JH,ER,N,IH
EY,L,OW,D
EH,D,IH,N
EY,S,AH,S
SH,AH,N,Z
AA,N,DH,AH
AH,D,AH,K
DH,AH,R,IH
P,R,AH,D
AH,S,EH,S
IY,Z,AA,R
T,R,EY,D
OW,M,AA,R
K,AA,N,T
SH,AH,L,Z
AH,L,IH,N
AA,N,D,Z
ER,M,Z,D
EH,S,T,IH
F,ER,M,Z
IH,SH,DH,AH
IH,P,M,AH
P,EH,K,T
T,AH,D,T
M,EY,K,IH
UW,S,IH,K
N,IY,DH,AH
S,T,S,S
IH,D,AH,N
EY,T,M,AH
AH,M,P,L
D,Z,W,IH
N,T,R,AH
Z,IH,SH,AH
B,L,AE,K
AH,K,SH,AH
M,AY,N,Z
K,T,IH,D
ER,D,P,L
ER,AW,N,D
SH,AH,L,Z
ZH,AH,N,Z
N,K,AH,N
IY,S,AH,K
F,AO,L,IH
