a_0,a_1,a_2,class
IH,G,Y,ER
EH,N,T,ER
IH,M,AH,T
N,IY,S,EH
N,P,EY,M
S,S,IY,N
T,AH,N,S
K,AH,M,P
AH,AO,R,D
ER,AH,N,T
V,ER,B,IH
P,R,AY,S
F,F,AO,R
P,EH,K,T
SH,AH,N,L
V,ER,S,AH
R,T,S,AH
AH,D,EH,N
IH,V,L,IY
F,R,AH,M
EH,K,T,T
EY,SH,AH,N
AH,L,IH,N
AE,V,B,IH
S,T,IH,N
EY,T,ER,AH
IY,AH,N,D
T,AH,M,Z
EH,R,AA,N
ER,Z,W,IH
T,R,AH,S
D,AH,S,T
R,M,AH,N
F,ER,S,T
P,EH,V,ER
P,AA,Z,IH
IH,R,IH,N
S,AH,V,IH
OW,IH,NG,Z
HH,AE,D,EH
EH,K,S,EH
M,AH,N,S
V,AH,S,T
AA,R,K,AH
R,IH,K,L
W,AO,T,ER
IH,D,EH,M
ER,IH,NG,AH
EH,R,AE,T
G,N,AH,M
EY,B,AY,M
D,V,EH,N
T,ER,AH,L
AO,R,G,AH
R,EY,T,T
T,P,R,AH
N,M,AH,N
IH,T,W,IY
AH,N,AH,N
S,EH,D,IH
AH,P,F,R
K,AH,N,S
EY,D,AH,N
Z,AH,N,T
T,R,AE,T
S,M,AO,L
R,D,L,EH
S,EH,L,ER
P,EH,K,T
IH,D,AY,Z
S,P,AO,R
ER,DH,AH,K
M,AH,N,T
B,AE,NG,K
K,AO,R,N
F,AA,R,M
ER,DH,AE,N
IY,ER,DH,IH
V,L,IY,S
S,EH,D,IH
IY,Z,IH,N
Z,AA,R,N
R,N,AA,T
B,ER,G,R
AH,S,M,AH
AY,S,AH,Z
Y,IH,R,ER
S,T,ER,EH
Z,AH,B,AH
R,N,AA,T
K,L,IY,T
S,DH,EH,R
T,AH,B,IH
AE,NG,K,S
B,AA,N,D
S,EY,L,Z
B,AY,DH,AH
T,S,AH,N
D,Z,AO,R
N,T,IY,D
R,EY,SH,IY
AE,K,SH,AH
T,UW,F,AH
IY,Z,S,AH
T,M,IY,N
AA,Z,R,IH
R,AA,B,AH
AH,SH,AA,R
T,M,EY,N
T,L,EY,Z
T,EH,D,AH
S,IH,S,T
AH,N,T,IY
EH,K,T,IH
K,EY,T,AH
N,S,EH,K
OW,V,ER,N
L,Y,AH,N
N,R,IY,Z
IH,K,AH,L
Y,UW,R,AH
F,AO,L,IH
D,AH,Y,IH
AH,Z,AA,R
R,S,AE,T
AH,D,UW,S
S,L,AY,D
S,P,AO,R
IH,L,T,AH
EY,N,JH,T
AH,N,AA,M
TH,R,IY,AH
R,EH,N,D
T,UW,B,IY
EY,M,AH,N
L,EH,K,S
R,AH,M,AH
IH,SH,AH,N
K,AA,F,IY
R,N,AH,N
EH,R,Z,L
HH,AY,ER,K
L,IY,AH,N
N,D,ER,AH
L,S,OW,D
EY,SH,AH,N
S,EH,V,AH
D,DH,AH,IH
D,EH,T,IH
SH,AH,N,D
S,M,AH,N
T,F,AO,R
B,AE,K,IH
SH,AH,N,S
Z,AH,V,AH
P,OW,ZH,ER
K,OW,L,M
IH,SH,AH,N
B,ER,K,AH
R,OW,L,Z
AO,R,T,ER
AH,V,ER,M
T,AH,V,S
R,EY,T,AH
AH,M,AH,T
K,T,IH,D
S,T,Y,IH
IH,L,B,IY
EY,T,UW,D
CH,W,UH,D
IH,L,D,ER
AH,T,S,IH
IH,L,Y,AH
HH,AE,D,S
AH,L,D,AH
W,AY,L,T
R,AH,T,IY
W,IH,DH,AH
F,IH,S,IH
IH,M,AE,N
N,D,F,R
K,AO,L,Z
L,Z,F,R
L,TH,AO,T
NG,F,AO,R
HH,OW,P,S
T,N,AH,N
EH,K,S,P
M,AH,N,T
SH,AH,N,AH
K,AH,M,IH
N,AE,N,S
S,EH,K,S
DH,AE,T,IH
AW,N,S,T
N,T,AH,N
V,ER,M,AH
T,W,IY,N
M,AH,JH,AH
T,Y,IH,R
D,B,IY,AH
D,AH,D,P
T,S,IH,K
IH,N,K,L
IH,T,IH,D
ER,Z,S,EH
AA,R,M,Z
AH,AO,R,D
R,IH,N,S
AH,M,EY,T
AH,M,P,EH
K,DH,AH,N
D,T,UW,N
T,ER,DH,IH
HH,AE,Z,R
D,P,EY,M
P,EH,N,T
IY,K,V,IH
AH,M,T,ER
D,DH,AH,P
AH,N,IH,Z
EY,T,IH,Z
P,AO,R,T
N,K,R,IY
L,AY,N,D
AH,M,P,AH
AA,T,IH,K
M,IY,T,IH
Z,R,OW,Z
R,L,IY,D
AH,F,EH,D
T,IH,T,S
S,SH,OW,IH
R,AH,M,IH
N,T,ER,N
D,IH,M,EH
AH,N,AH,L
R,IY,V,IY
AH,SH,EH,R
N,EH,T,P
AO,R,G,AH
AH,N,EY,T
L,S,OW,K
EH,K,SH,AH
N,T,DH,IH
N,OW,V,ER
AH,D,IY,S
AH,Y,UW,N
ER,SH,IH,P
D,UW,T,IY
IY,M,AE,N
T,AH,N,D
D,G,OW,L
AA,N,S,AH
S,T,R,EH
T,L,AY,N
AH,P,OW,Z
N,D,AH,M
AE,T,AH,N
