Month,DayOfWeek,PdDistrict,X,Y,Category
May,Wednesday,CENTRAL,-122.419087676747,37.8078015516515,LARCENY/THEFT
May,Wednesday,RICHMOND,-122.513642064265,37.77846921994671,LARCENY/THEFT
May,Wednesday,BAYVIEW,-122.375989158092,37.7301576924252,VANDALISM
May,Wednesday,NORTHERN,-122.43468935167401,37.7888538411014,VEHICLE THEFT
May,Wednesday,BAYVIEW,-122.39742619472601,37.7684401585615,NON-CRIMINAL
May,Wednesday,RICHMOND,-122.484873334981,37.7820231786465,NON-CRIMINAL
May,Wednesday,PARK,-122.45353456066002,37.76916629780521,WARRANTS
May,Wednesday,MISSION,-122.42249041028,37.7480144418715,OTHER OFFENSES
May,Wednesday,RICHMOND,-122.462138602289,37.78012729919,NON-CRIMINAL
May,Wednesday,CENTRAL,-122.406977563692,37.789918101686,NON-CRIMINAL
May,Wednesday,INGLESIDE,-122.43363939685,37.71475331846121,OTHER OFFENSES
May,Tuesday,TARAVAL,-122.46686187236601,37.75653394977221,LARCENY/THEFT
May,Tuesday,CENTRAL,-122.41417943719,37.787502483207,LARCENY/THEFT
May,Tuesday,MISSION,-122.42249041028,37.7480144418715,ASSAULT
May,Tuesday,BAYVIEW,-122.39002724349501,37.7762997888042,OTHER OFFENSES
May,Tuesday,BAYVIEW,-122.383187458704,37.7316757960484,SUSPICIOUS OCC
May,Tuesday,TARAVAL,-122.482825696845,37.7384469378427,OTHER OFFENSES
May,Tuesday,CENTRAL,-122.41407704553801,37.8037038923979,LARCENY/THEFT
May,Monday,TARAVAL,-122.486245450953,37.755681448829606,LARCENY/THEFT
May,Monday,TENDERLOIN,-122.407845374111,37.7850943210103,LARCENY/THEFT
May,Monday,PARK,-122.44350785839,37.778089257902714,LARCENY/THEFT
May,Monday,TARAVAL,-122.475644251197,37.7430505534925,NON-CRIMINAL
May,Monday,SOUTHERN,-122.40340479147899,37.775420706711,NON-CRIMINAL
May,Monday,TARAVAL,-122.47013676859801,37.7246284241725,OTHER OFFENSES
May,Monday,INGLESIDE,-122.417678812123,37.7107672954351,ASSAULT
May,Monday,INGLESIDE,-122.444840591619,37.70858327819111,OTHER OFFENSES
May,Monday,MISSION,-122.419671780296,37.7650501214668,NON-CRIMINAL
May,Monday,RICHMOND,-122.47991272891899,37.78018134996579,NON-CRIMINAL
May,Monday,SOUTHERN,-122.41135913835699,37.7764944808779,DRUG/NARCOTIC
May,Monday,TARAVAL,-122.46612320150601,37.741042450967,WARRANTS
May,Monday,TENDERLOIN,-122.41198764359501,37.7850226622786,FRAUD
