a_0,a_1,a_2,class
W,IY,K,L
F,T,ER,K
N,S,EH,D
SH,AH,N,Z
N,D,Z,AH
Y,UW,Z,D
EH,D,IH,T
T,S,S,T
EH,K,AH,M
R,K,AH,T
P,AE,K,T
IH,N,DH,AH
AH,L,T,S
T,S,DH,AH
AH,N,T,IH
AH,Y,IH,R
T,DH,AH,D
AH,F,UW,D
N,D,ER,AH
T,ER,M,Z
L,EY,SH,AH
UW,N,IH,S
T,AH,V,IH
NG,P,AE,K
Z,S,EH,D
EH,N,T,IH
W,EH,N,T
EH,Z,AH,D
AH,P,IH,N
Z,AY,N,D
EY,N,Z,K
AH,B,L,IH
EH,S,IH,L
AH,S,T,S
EH,S,D,IY
AH,K,T,S
P,M,IY,T
IH,T,R,AH
AH,L,Z,AH
UH,D,B,IY
N,S,IH,S
N,R,EY,T
AA,N,AH,M
AH,N,D,S
Y,UW,SH,AH
R,AH,M,R
T,W,IY,N
IH,N,DH,AH
B,IH,Z,N
ER,Z,K,AH
K,S,M,AH
AH,K,T,IH
HH,IY,AE,D
D,S,EH,K
T,AE,K,S
W,AA,Z,IH
R,DH,AH,EH
V,IY,EH,S
AO,R,M,ER
EH,T,IH,N
M,ER,JH,ER
S,S,EH,D
ER,P,R,AH
S,F,AO,L
ER,M,AH,N
M,B,ER,Z
IH,D,IH,N
T,UW,P,R
IH,N,T,AH
S,K,AH,M
AY,IH,NG,R
AA,V,AH,N
IH,NG,AH,K
D,IH,T,R
IH,K,L,IY
AO,R,AA,R
N,S,W,IH
L,OW,G,R
P,R,AY,S
S,T,IH,D
Y,AH,L,AH
T,AH,Y,IH
EH,R,S,EH
L,IY,D,IH
L,IY,D,IH
AH,W,IY,K
L,IY,S,EH
M,P,AH,N
R,AH,T,IY
HH,AE,V,K
K,AH,N,S
AH,T,OW,T
AE,N,IH,N
AH,K,AO,R
T,AH,V,T
EY,T,IH,N
P,R,IH,N
EH,SH,AH,N
AY,W,AH,N
AE,F,T,ER
ER,R,IH,T
Z,W,IH,L
DH,AH,W,IY
K,F,R,AH
T,S,EH,D
IY,EH,R,IY
F,AH,T,AH
ER,DH,AH,S
T,AO,F,ER
AH,N,D,D
K,T,K,AH
N,IH,N,IH
DH,ER,AE,N
DH,AH,D,IH
L,HH,AE,Z
UW,AH,V,IH
L,S,OW,D
AH,B,AO,R
SH,EH,R,Z
AH,F,EH,S
L,S,AH,M
AH,V,DH,EH
NG,S,P,EH
AH,D,M,EH
S,T,R,AH
S,AH,Z,AH
T,S,AH,K
UW,K,R,EH
T,EH,L,EH
L,IY,AH,M
Y,UW,IH,N
B,S,IH,D
AE,D,AH,D
AO,R,S,AH
D,AH,T,S
EH,G,Y,AH
AH,L,AE,S
AA,N,DH,AH
JH,D,AE,T
R,JH,AH,S
AH,L,AA,R
Y,UW,G,R
N,D,IH,Z
S,AH,S,T
P,EY,M,AH
N,AW,N,S
Z,AY,N,D
