Month,DayOfWeek,PdDistrict,X,Y,Category
May,Wednesday,RICHMOND,-122.513642064265,37.77846921994671,LARCENY/THEFT
May,Wednesday,RICHMOND,-122.47204825520299,37.7853902153809,NON-CRIMINAL
May,Wednesday,PARK,-122.45353456066002,37.76916629780521,WARRANTS
May,Wednesday,INGLESIDE,-122.42286568411801,37.73947657220271,LARCENY/THEFT
May,Wednesday,MISSION,-122.414089000708,37.75250507857579,OTHER OFFENSES
May,Wednesday,RICHMOND,-122.455468425157,37.786210973675,LARCENY/THEFT
May,Wednesday,CENTRAL,-122.414010814727,37.7866770011071,NON-CRIMINAL
May,Wednesday,INGLESIDE,-122.41873276305799,37.747495526854294,WARRANTS
May,Tuesday,TENDERLOIN,-122.41013523637699,37.78418890752671,NON-CRIMINAL
May,Tuesday,CENTRAL,-122.406977563692,37.789918101686,LARCENY/THEFT
May,Tuesday,CENTRAL,-122.40160542858601,37.795074606879396,FORGERY/COUNTERFEITING
May,Monday,BAYVIEW,-122.39036028160999,37.7205064590363,WARRANTS
May,Monday,TARAVAL,-122.490816703003,37.74517250184321,NON-CRIMINAL
May,Monday,SOUTHERN,-122.410832033935,37.7732171278196,VANDALISM
May,Monday,NORTHERN,-122.432951589917,37.805052022888106,ASSAULT
May,Monday,RICHMOND,-122.48124622456301,37.7764474435046,NON-CRIMINAL
May,Sunday,SOUTHERN,-122.39142506985701,37.7778727797586,NON-CRIMINAL
May,Saturday,MISSION,-122.43338826161,37.7554092711033,VEHICLE THEFT
May,Saturday,NORTHERN,-122.423492487188,37.7952630264552,VANDALISM
May,Saturday,SOUTHERN,-122.40652098714399,37.7850629421661,LARCENY/THEFT
May,Friday,SOUTHERN,-122.4039407276,37.784300707234394,LARCENY/THEFT
May,Friday,MISSION,-122.41952036788601,37.764228935718,OTHER OFFENSES
May,Friday,MISSION,-122.43403618214,37.7632941952462,SUSPICIOUS OCC
Apr,Thursday,CENTRAL,-122.41191976744601,37.7972709943716,ROBBERY
Apr,Thursday,BAYVIEW,-122.382475491131,37.7292626391341,OTHER OFFENSES
Apr,Thursday,TARAVAL,-122.47849749955799,37.73731096165661,NON-CRIMINAL
Apr,Thursday,PARK,-122.44010399460501,37.7736849604306,MISSING PERSON
Apr,Thursday,RICHMOND,-122.45701107106501,37.7799128554362,MISSING PERSON
Apr,Thursday,PARK,-122.453512911126,37.7686969786551,OTHER OFFENSES
Apr,Wednesday,MISSION,-122.421082850193,37.764910844225994,ASSAULT
Apr,Wednesday,SOUTHERN,-122.40340479147899,37.775420706711,NON-CRIMINAL
Apr,Wednesday,CENTRAL,-122.401957311851,37.8027753331329,LARCENY/THEFT
Apr,Wednesday,MISSION,-122.41982792996099,37.766673755183504,LARCENY/THEFT
Apr,Wednesday,INGLESIDE,-122.425591802243,37.7197426710766,LARCENY/THEFT
Apr,Wednesday,NORTHERN,-122.447163343762,37.798002807473296,NON-CRIMINAL
Apr,Wednesday,MISSION,-122.419858465007,37.7627429027065,ROBBERY
Apr,Tuesday,RICHMOND,-122.46173261893,37.7754662349337,VEHICLE THEFT
Apr,Tuesday,SOUTHERN,-122.406179415424,37.7706221909544,BURGLARY
Apr,Tuesday,TARAVAL,-122.464741958044,37.743017293649395,VANDALISM
Apr,Tuesday,NORTHERN,-122.422139511488,37.78941076334571,LARCENY/THEFT
Apr,Monday,RICHMOND,-122.453385137523,37.777827120114395,LARCENY/THEFT
Apr,Monday,NORTHERN,-122.417903977564,37.785167087551706,DRUG/NARCOTIC
Apr,Monday,INGLESIDE,-122.42164447844699,37.7429970144076,SUSPICIOUS OCC
Apr,Monday,MISSION,-122.41952036788601,37.764228935718,VANDALISM
Apr,Sunday,MISSION,-122.421733767763,37.7632996945938,LARCENY/THEFT
Apr,Sunday,SOUTHERN,-122.411118243435,37.7775607137405,MISSING PERSON
Apr,Sunday,TENDERLOIN,-122.414056291891,37.7827931071006,WARRANTS
Apr,Sunday,CENTRAL,-122.415435473094,37.8063418891813,ASSAULT
Apr,Sunday,SOUTHERN,-122.39738878482599,37.7825543452426,OTHER OFFENSES
Apr,Sunday,SOUTHERN,-122.394484874311,37.787298235524396,OTHER OFFENSES
Apr,Saturday,NORTHERN,-122.419183096362,37.78309982445921,ASSAULT
Apr,Friday,CENTRAL,-122.40967476738001,37.7965998967008,OTHER OFFENSES
Apr,Friday,SOUTHERN,-122.38837987391899,37.783310406701496,LARCENY/THEFT
Apr,Friday,SOUTHERN,-122.408421116922,37.7835699386918,LARCENY/THEFT
Apr,Friday,SOUTHERN,-122.408685885018,37.7761558110245,VEHICLE THEFT
Apr,Friday,TARAVAL,-122.475644251197,37.7430505534925,ASSAULT
Apr,Friday,NORTHERN,-122.430579280128,37.785412112566796,LARCENY/THEFT
Apr,Thursday,INGLESIDE,-122.426163478168,37.731167932107894,NON-CRIMINAL
Apr,Thursday,SOUTHERN,-122.40340479147899,37.775420706711,OTHER OFFENSES
Apr,Thursday,MISSION,-122.412301187143,37.7635382940839,NON-CRIMINAL
Apr,Wednesday,NORTHERN,-122.426452054349,37.7981828223951,LARCENY/THEFT
Apr,Wednesday,PARK,-122.450885244959,37.74828219354721,NON-CRIMINAL
Apr,Wednesday,CENTRAL,-122.405283980519,37.796551048078896,OTHER OFFENSES
Apr,Tuesday,CENTRAL,-122.408231026261,37.787359494956,LARCENY/THEFT
Apr,Tuesday,MISSION,-122.419671780296,37.7650501214668,NON-CRIMINAL
Apr,Monday,INGLESIDE,-122.410829623756,37.734733171769705,ROBBERY
Apr,Monday,BAYVIEW,-122.392999218358,37.7308185295721,VANDALISM
Apr,Monday,NORTHERN,-122.43109805193701,37.779617141304,NON-CRIMINAL
