Month,DayOfWeek,PdDistrict,X,Y,Category
May,Wednesday,CENTRAL,-122.419087676747,37.8078015516515,LARCENY/THEFT
May,Wednesday,RICHMOND,-122.513642064265,37.77846921994671,LARCENY/THEFT
May,Wednesday,INGLESIDE,-122.45450719864401,37.741113311496704,VANDALISM
May,Wednesday,INGLESIDE,-122.431371314076,37.7219675742406,OTHER OFFENSES
May,Wednesday,RICHMOND,-122.47204825520299,37.7853902153809,NON-CRIMINAL
May,Wednesday,PARK,-122.45353456066002,37.76916629780521,WARRANTS
May,Wednesday,INGLESIDE,-122.42286568411801,37.73947657220271,LARCENY/THEFT
May,Wednesday,MISSION,-122.414089000708,37.75250507857579,OTHER OFFENSES
May,Wednesday,RICHMOND,-122.455468425157,37.786210973675,LARCENY/THEFT
May,Wednesday,CENTRAL,-122.414010814727,37.7866770011071,NON-CRIMINAL
May,Wednesday,INGLESIDE,-122.41873276305799,37.747495526854294,WARRANTS
May,Tuesday,TARAVAL,-122.45561586153799,37.7238590120011,LARCENY/THEFT
May,Tuesday,TENDERLOIN,-122.41013523637699,37.78418890752671,NON-CRIMINAL
May,Tuesday,CENTRAL,-122.406977563692,37.789918101686,LARCENY/THEFT
May,Tuesday,SOUTHERN,-122.407633520742,37.7841893501425,LARCENY/THEFT
May,Tuesday,RICHMOND,-122.464279879446,37.7800332991006,NON-CRIMINAL
May,Tuesday,INGLESIDE,-122.422385609204,37.7471728438465,NON-CRIMINAL
May,Tuesday,CENTRAL,-122.40160542858601,37.795074606879396,FORGERY/COUNTERFEITING
May,Tuesday,INGLESIDE,-122.41860971910201,37.7474453071495,DRUG/NARCOTIC
May,Monday,INGLESIDE,-122.42089659873501,37.7440381549154,OTHER OFFENSES
May,Monday,TARAVAL,-122.482085505301,37.7586485350409,ASSAULT
May,Monday,TARAVAL,-122.458259565381,37.7240155831938,FRAUD
May,Monday,BAYVIEW,-122.39036028160999,37.7205064590363,WARRANTS
May,Monday,BAYVIEW,-122.39274431760201,37.7543617585564,VEHICLE THEFT
May,Monday,TARAVAL,-122.490816703003,37.74517250184321,NON-CRIMINAL
May,Monday,SOUTHERN,-122.410832033935,37.7732171278196,VANDALISM
May,Monday,CENTRAL,-122.41084562422701,37.792315874764704,NON-CRIMINAL
May,Monday,NORTHERN,-122.432951589917,37.805052022888106,ASSAULT
May,Monday,NORTHERN,-122.420775721444,37.78677548206471,NON-CRIMINAL
May,Monday,RICHMOND,-122.48124622456301,37.7764474435046,NON-CRIMINAL
May,Monday,PARK,-122.440942789065,37.7613658877424,LARCENY/THEFT
