a_0,a_1,a_2,class
AY,P,IH,R
S,AH,B,S
B,IY,P,R
S,T,IY,L
ER,D,IH,N
AE,N,AH,D
JH,AH,V,K
AH,N,EH,R
L,OW,DH,AH
V,IY,EH,S
N,JH,K,AH
Z,T,UW,S
L,Y,AH,N
T,M,AH,N
V,D,ER,N
AE,T,ER,AH
K,W,EH,N
IH,V,AH,N
K,SH,AH,N
T,UW,AH,S
F,W,IY,AH
W,IH,SH,T
B,IY,AH,S
N,F,AO,R
P,L,IY,T
K,AO,R,D
V,EH,N,T
AA,R,T,IH
S,CH,EY,N
AH,M,P,AH
N,AH,L,S
V,IY,EH,S
DH,AH,AA,R
M,AH,N,T
R,AE,F,T
JH,N,EH,T
M,AH,N,S
AH,W,IY,K
IH,K,AO,Z
AH,L,S,IH
AH,N,AH,L
AE,N,D,AH
Z,N,OW,AH
T,S,IH,T
T,S,S,T
L,IH,K,L
IH,T,IY,IH
D,AH,K,T
T,S,OW,L
AH,V,DH,AH
T,AH,V,S
S,AH,B,AH
T,IY,CH,K
AH,S,EH,D
AE,Z,B,IH
AH,M,P,AH
ER,T,OW,L
D,AH,B,EH
IY,L,D,IH
R,M,ER,N
IH,Z,K,AH
JH,AH,N,S
IY,S,ER,T
OW,ER,Z,AH
P,R,EH,Z
S,T,IH,N
AY,V,AH,T
AH,V,R,EH
SH,AH,N,AH
DH,AH,R,IH
DH,AH,D,IH
AH,Z,W,EH
D,T,UW,K
AH,F,AA,R
P,L,AE,N
L,P,L,AH
W,IY,K,L
L,Y,AH,N
IH,N,K,AH
IH,L,Y,AH
W,ER,TH,AH
N,OW,M,AH
Y,UW,T,IH
AA,R,K,T
R,EY,T,S
AH,D,EY,T
T,R,IY,Z
IH,N,T,R
AE,S,EH,T
AA,B,L,AH
AE,Z,B,IH
EH,V,AH,L
SH,AH,N,Z
IH,N,DH,AH
S,AH,P,R
F,IY,EH,K
N,T,UW,T
EH,S,S,T
IY,L,AH,N
L,AH,N,D
W,IY,K,N
N,IH,N,T
Z,L,AO,N
AY,N,M,AH
P,AE,S,AH
K,AH,T,AH
S,R,OW,D
B,AE,NG,K
AH,V,AH,S
Z,T,UW,K
K,AH,N,T
Z,HH,AE,D
T,DH,AH,AH
T,F,AO,L
DH,EY,AO,L
IH,K,AA,N
P,ER,CH,AH
B,AH,S,IY
AE,T,AO,L
S,T,AE,N
S,K,ER,AH
T,EH,S,T
