Month,DayOfWeek,PdDistrict,X,Y,Category
May,Wednesday,CENTRAL,-122.419087676747,37.8078015516515,LARCENY/THEFT
May,Wednesday,RICHMOND,-122.513642064265,37.77846921994671,LARCENY/THEFT
May,Wednesday,NORTHERN,-122.43468935167401,37.7888538411014,VEHICLE THEFT
May,Wednesday,CENTRAL,-122.421024261905,37.8047295639777,NON-CRIMINAL
May,Wednesday,INGLESIDE,-122.420529801066,37.7110023300609,VANDALISM
May,Wednesday,CENTRAL,-122.412663134779,37.8006355477605,MISSING PERSON
May,Wednesday,TENDERLOIN,-122.415508242782,37.7816542806076,SUSPICIOUS OCC
May,Wednesday,MISSION,-122.40545578922399,37.7543370820935,ASSAULT
May,Wednesday,NORTHERN,-122.423168378741,37.777815744457705,ROBBERY
May,Wednesday,INGLESIDE,-122.41873276305799,37.747495526854294,WARRANTS
May,Wednesday,RICHMOND,-122.469766223526,37.7817135599476,ASSAULT
May,Tuesday,SOUTHERN,-122.397034190089,37.792823650931204,LARCENY/THEFT
May,Tuesday,SOUTHERN,-122.41251534135598,37.78047774805079,ASSAULT
May,Tuesday,PARK,-122.460646278384,37.771490351432796,BURGLARY
May,Tuesday,SOUTHERN,-122.41127918996901,37.7715785765043,LARCENY/THEFT
May,Tuesday,TARAVAL,-122.449768933547,37.7211298126754,BURGLARY
May,Tuesday,CENTRAL,-122.403591933969,37.8054129167661,LARCENY/THEFT
May,Tuesday,BAYVIEW,-122.39800417734,37.7190331787318,ASSAULT
May,Monday,SOUTHERN,-122.41029351969,37.7822305870036,OTHER OFFENSES
May,Monday,CENTRAL,-122.4168291485,37.788178697075,NON-CRIMINAL
May,Monday,SOUTHERN,-122.41127918996901,37.7715785765043,OTHER OFFENSES
May,Monday,SOUTHERN,-122.40340479147899,37.775420706711,VANDALISM
May,Monday,CENTRAL,-122.414996719991,37.7874530734464,OTHER OFFENSES
May,Monday,TENDERLOIN,-122.412999075009,37.786277459166,NON-CRIMINAL
May,Monday,CENTRAL,-122.41084562422701,37.792315874764704,NON-CRIMINAL
May,Monday,TARAVAL,-122.484780210487,37.7184489300774,ASSAULT
May,Monday,BAYVIEW,-122.397744427103,37.7299346936044,MISSING PERSON
May,Monday,SOUTHERN,-122.412904380868,37.775998180531204,NON-CRIMINAL
May,Monday,TARAVAL,-122.465378582035,37.7650057282953,LARCENY/THEFT
May,Sunday,SOUTHERN,-122.400473580152,37.7850290611875,VANDALISM
May,Sunday,TARAVAL,-122.473135698267,37.75156462130821,LARCENY/THEFT
