Month,DayOfWeek,PdDistrict,X,Y,Category
May,Wednesday,CENTRAL,-122.419087676747,37.8078015516515,LARCENY/THEFT
May,Wednesday,RICHMOND,-122.513642064265,37.77846921994671,LARCENY/THEFT
May,Wednesday,NORTHERN,-122.43468935167401,37.7888538411014,VEHICLE THEFT
May,Wednesday,CENTRAL,-122.421024261905,37.8047295639777,NON-CRIMINAL
May,Wednesday,CENTRAL,-122.40979166229299,37.7985083480435,NON-CRIMINAL
May,Wednesday,INGLESIDE,-122.42286568411801,37.73947657220271,LARCENY/THEFT
May,Wednesday,MISSION,-122.419350173229,37.76101609120561,BURGLARY
May,Wednesday,MISSION,-122.40545578922399,37.7543370820935,ASSAULT
May,Wednesday,PARK,-122.448161924701,37.7718254753062,OTHER OFFENSES
May,Wednesday,TARAVAL,-122.475287886078,37.737452716497394,OTHER OFFENSES
May,Wednesday,MISSION,-122.42380300190099,37.7615655928045,OTHER OFFENSES
May,Tuesday,BAYVIEW,-122.40390700421,37.7282055879734,LARCENY/THEFT
May,Tuesday,PARK,-122.446432100907,37.750241057883,LARCENY/THEFT
May,Tuesday,BAYVIEW,-122.389874469393,37.775412860863206,LARCENY/THEFT
May,Tuesday,RICHMOND,-122.448019046655,37.789016124095795,ASSAULT
May,Tuesday,RICHMOND,-122.513642064265,37.77846921994671,LARCENY/THEFT
May,Tuesday,MISSION,-122.417499429971,37.753084671409,MISSING PERSON
May,Tuesday,SOUTHERN,-122.39998111123998,37.7776242389287,NON-CRIMINAL
May,Tuesday,NORTHERN,-122.419183096362,37.78309982445921,OTHER OFFENSES
May,Monday,MISSION,-122.41947048851499,37.762270173991396,VANDALISM
May,Monday,PARK,-122.459238740294,37.7553267974105,LARCENY/THEFT
May,Monday,TARAVAL,-122.477976682169,37.7269346350353,LARCENY/THEFT
May,Monday,MISSION,-122.40898343975901,37.751987040935,ASSAULT
May,Monday,SOUTHERN,-122.417975390351,37.7737509379648,ASSAULT
May,Monday,CENTRAL,-122.403822206288,37.79007905288,LARCENY/THEFT
May,Monday,TENDERLOIN,-122.413609328985,37.784696907904,ROBBERY
May,Monday,SOUTHERN,-122.40652098714399,37.7850629421661,LARCENY/THEFT
May,Monday,NORTHERN,-122.420775721444,37.78677548206471,NON-CRIMINAL
May,Monday,INGLESIDE,-122.45964840281,37.73919894161629,VEHICLE THEFT
May,Monday,TENDERLOIN,-122.41198764359501,37.7850226622786,OTHER OFFENSES
May,Sunday,SOUTHERN,-122.399833846531,37.781043217933394,VANDALISM
