a_0,a_1,a_2,class
EY,T,DH,IH
M,AE,N,AH
L,IH,S,T
AH,V,IH,T
AH,V,S,IH
OW,S,EH,D
ER,Z,AE,T
N,D,ER,S
K,T,T,EH
EH,R,ER,N
S,AH,N,S
Z,IH,T,S
Y,AH,L,AH
N,AA,T,S
IH,M,P,R
Y,IH,R,EH
EY,T,IH,D
V,EH,JH,T
T,OW,L,D
AH,L,S,EH
IH,M,IY,D
SH,AH,N,Z
HH,OW,L,D
L,Z,B,IH
AO,L,IH,N
SH,AH,N,AH
D,W,AA,Z
F,AO,R,AH
K,AH,N,T
Z,P,ER,S
M,AH,N,T
IH,NG,R,IH
AO,R,T,K
V,IY,AH,S
S,IH,M,AH
IH,T,IH,K
N,D,ER,T
T,R,AE,K
T,AE,F,T
R,T,T,AH
L,AE,N,IH
AE,P,S,T
N,T,S,T
P,AH,T,AH
AH,L,IH,N
AH,N,D,IH
K,SH,AH,N
DH,AE,T,K
IY,Z,HH,AH
AH,N,AH,L
D,IH,D,T
K,N,AA,L
IH,V,EH,N
D,ER,Z,R
AH,Y,IH,R
R,EH,D,IH
T,AO,K,S
S,T,OW,T
AH,TH,AO,R
EH,N,S,K
N,IH,K,S
T,IY,DH,AH
ER,DH,AH,N
M,EY,AO,L
EH,N,T,AH
AH,P,OW,Z
AO,R,IH,L
Z,IH,T,S
S,P,AH,S
N,T,EY,N
NG,DH,AH,D
AH,K,S,EH
T,S,EH,D
R,D,W,IH
S,F,R,AH
AO,R,D,IH
AH,N,T,K
IY,Z,EH,R
T,R,OY,D
ER,S,AH,N
S,M,AH,N
D,DH,EH,R
Z,IH,T,IH
T,IH,Z,AH
Z,D,IH,D
L,IH,S,T
K,AE,P,AH
SH,AH,N,Z
D,UW,S,T
IH,L,EY,T
EH,N,D,IH
T,T,EH,L
P,R,AY,S
UH,L,SH,EH
ER,IH,NG,S
AA,R,IH,K
AY,N,IH,N
B,IH,L,IH
T,IY,IH,T
AE,T,DH,AH
T,OW,L,D
IH,K,AH,T
P,AO,R,T
K,R,IY,S
M,EY,N,Z
N,T,AA,N
Z,G,UH,D
P,EY,M,AH
IH,T,AH,L
L,EH,S,AH
V,AE,N,IH
EH,S,T,EH
R,AY,S,AH
P,L,AY,IH
AA,R,K,AH
IY,JH,AH,N
Z,N,AA,T
S,EH,D,IH
IH,T,S,EH
Y,UW,S,IH
T,AH,N,T
S,AH,Z,AH
M,T,AE,K
S,S,AH,S
TH,R,EH,T
D,T,UW,EH
T,L,IY,N
IY,V,IH,N
B,R,EY,K
K,AH,N,T
N,B,IH,L
D,AH,V,L
T,Y,IH,R
L,AY,Z,D
D,AH,S,EH
S,P,EH,K
T,S,AE,N
S,T,M,AH
AE,S,AH,T
AH,T,S,K
AH,N,T,S
D,IH,D,N
IH,S,T,R
AH,L,M,AH
ER,EY,SH,AH
S,CH,AH,N
AO,R,HH,IH
AH,N,T,R
EY,M,AH,N
P,R,AY,S
R,EY,V,K
V,ER,DH,AH
B,UH,SH,AH
NG,AE,Z,R
R,AH,T,EH
UW,M,AH,N
R,DH,AH,IH
W,UH,D,K
EY,K,AH,N
IH,S,T,S
T,AH,N,D
L,ER,M,EH
D,K,AA,N
NG,S,IH,S
EY,AA,R,S
AE,N,AE,N
IH,N,DH,AH
AH,V,DH,AH
EY,S,IH,N
S,EH,D,IH
R,EH,K,S
R,IH,N,S
HH,AE,D,AH
N,AA,M,IH
UW,P,ER,S
JH,M,AA,D
N,D,Z,T
Y,IH,R,AH
R,AA,F,AH
EH,V,AH,N
T,V,AE,L
Y,UW,K,AH
ER,L,IY,K
G,R,IY,D
AH,N,AE,N
D,AH,M,AH
IY,AE,D,AH
P,AA,N,S
AH,N,D,IH
UH,T,DH,AH
AH,N,D,AH
S,EH,T,S
N,D,DH,AH
T,S,DH,AH
IH,K,AA,N
IY,DH,IH,S
N,HH,IY,S
HH,IY,S,EH
D,M,AA,D
AH,T,IH,K
K,L,IY,S
D,N,IH,R
AE,K,T,S
K,S,Y,IH
OY,N,T,S
ER,S,AH,S
K,AH,N,S
NG,EH,K,S
M,IH,N,T
M,AA,R,K
D,EY,Z,L
L,CH,ER,AH
R,AH,D,AH
S,T,IH,K
AH,N,S,IH
DH,AH,OY,L
B,S,T,IH
V,DH,AH,IH
DH,AH,B,AH
EY,SH,AH,N
T,S,B,AH
R,IY,AH,L
EY,N,JH,IH
S,T,M,AH
T,AH,K,AH
AH,M,DH,EH
T,DH,EH,R
AH,P,AA,Z
N,SH,AH,N
EH,D,DH,AH
SH,AH,N,D
EH,S,D,IH
AH,P,AE,S
EH,SH,AH,N
AH,N,T,S
IH,SH,M,AH
K,AH,N,T
L,EY,T,IH
T,DH,AH,R
T,AE,T,AH
D,EH,K,S
R,OW,T,AH
G,EY,SH,AH
L,V,D,D
EH,S,D,IH
Z,IH,T,IH
S,P,EH,K
S,IH,N,D
M,EY,T,AH
IH,R,ER,L
R,S,AH,Z
N,AH,S,T
D,L,EH,D
AO,R,AE,N
Y,IH,R,AH
AO,R,IH,N
N,UW,T,EH
AH,L,EH,T
N,B,AY,AH
K,AA,M,EH
P,R,AY,S
IY,M,AH,N
IY,AY,S,AH
N,DH,AH,N
P,R,IH,N
AE,NG,K,S
OW,IH,NG,T
UW,R,IH,S
S,AH,Z,AH
AH,S,T,AH
S,AH,Z,S
AH,L,IY,T
D,AH,M,EH
N,D,S,T
Z,B,AH,T
ER,AW,N,D
P,AO,R,T
R,AA,S,EH
Z,AA,N,T
T,AA,R,T
T,R,EY,D
F,AH,G,R
EY,D,IH,D
W,IY,K,EH
IH,DH,IH,T
D,F,AO,R
IY,S,EH,D
P,AA,R,T
T,UW,DH,AH
G,EH,N,S
EY,SH,AH,N
D,P,R,AH
B,ER,TH,S
AA,R,OW,IH
G,R,EY,S
G,R,IY,D
W,AH,N,AH
OW,T,AH,Z
IH,NG,AH,L
Z,S,EY,IH
Z,N,AA,T
N,JH,AH,N
N,IY,Z,T
D,AH,B,AH
ER,AH,L,IH
AH,M,EH,S
AH,N,G,IH
S,AH,B,AH
R,D,IH,D
AH,N,S,EH
N,AH,N,AH
K,T,R,IH
F,ER,TH,R
W,AO,R,AH
AH,B,S,K
K,K,R,EH
B,L,IY,Z
DH,AH,G,AH
S,B,IH,L
N,F,AO,R
B,L,AE,K
IH,S,T,AH
F,AE,M,AH
M,B,ER,Z
AH,T,S,T
Z,B,IH,N
D,EH,S,L
S,AH,N,D
N,Z,AA,N
AE,T,OY,L
P,AO,R,T
R,T,S,R
T,AH,N,Z
T,S,S,EH
AA,N,F,L
DH,AH,G,AH
P,R,EH,Z
N,SH,AH,L
R,IH,K,S
IH,M,AE,N
R,EY,T,AH
EH,S,S,T
AW,N,F,R
F,AH,S,AH
P,AH,S,IH
IY,SH,EH,R
N,EY,M,AH
B,AE,NG,K
IH,S,T,AH
Y,UW,S,AH
R,AA,D,AH
AH,HH,OW,L
V,M,AH,N
AH,N,T,AH
R,AH,S,T
EY,JH,AH,N
AH,N,D,IH
AH,N,T,R
B,AH,JH,IH
DH,AH,M,AH
T,S,ER,IH
NG,L,OW,N
IH,NG,DH,AH
IY,P,AY,R
AH,L,S,IH
R,AA,F,IH
S,P,EH,K
F,AO,R,AH
DH,ER,S,T
AH,L,IY,D
Z,K,AH,N
G,R,OW,S
F,AH,S,AH
Z,AH,N,D
D,EH,N,K
EY,T,AH,D
AO,R,S,IH
T,F,IH,S
IH,K,Y,AH
Z,DH,AE,T
AY,S,AH,Z
AH,D,IH,N
T,AA,P,T
AE,T,DH,AH
D,T,AO,K
L,M,IH,N
M,S,EY,IH
AH,N,S,AH
M,AH,N,T
N,D,D,IH
