a_0,a_1,a_2,class
F,T,ER,K
N,D,Z,AH
Y,UW,Z,D
EH,D,IH,T
T,S,S,T
EH,K,AH,M
R,K,AH,T
P,AE,K,T
IH,N,DH,AH
AH,L,T,S
T,S,DH,AH
AH,Y,IH,R
N,D,ER,AH
Z,S,EH,D
W,EH,N,T
EH,Z,AH,D
Z,AY,N,D
EY,N,Z,K
AH,B,L,IH
IH,T,R,AH
AA,N,AH,M
AH,N,D,S
T,W,IY,N
HH,IY,AE,D
V,IY,EH,S
EH,T,IH,N
M,ER,JH,ER
S,S,EH,D
M,B,ER,Z
IH,D,IH,N
IH,N,T,AH
S,K,AH,M
IH,K,L,IY
L,OW,G,R
S,T,IH,D
Y,AH,L,AH
L,IY,D,IH
AH,W,IY,K
L,IY,S,EH
M,P,AH,N
HH,AE,V,K
K,AH,N,S
AH,T,OW,T
T,AH,V,T
P,R,IH,N
EH,SH,AH,N
AY,W,AH,N
Z,W,IH,L
DH,AH,W,IY
K,F,R,AH
IY,EH,R,IY
T,AO,F,ER
N,IH,N,IH
DH,AH,D,IH
L,HH,AE,Z
UW,AH,V,IH
AH,V,DH,EH
NG,S,P,EH
S,T,R,AH
S,AH,Z,AH
UW,K,R,EH
AE,D,AH,D
D,AH,T,S
EH,G,Y,AH
AH,L,AE,S
R,JH,AH,S
AH,L,AA,R
N,D,IH,Z
S,AH,S,T
N,AW,N,S
Z,AY,N,D
B,IH,G,AH
T,S,K,R
UW,K,L,IY
AE,F,T,ER
M,P,T,IH
NG,AH,P,IH
UW,T,R,AH
IH,K,IH,K
T,UW,IH,N
M,P,R,EH
OW,SH,AH,L
HH,EH,L,D
EH,L,D,D
S,UW,M,ER
Z,AH,SH,IH
EY,SH,OW,D
T,AH,M,ER
S,AH,N,D
S,K,AH,M
S,IY,R,IH
K,EY,M,Z
T,AH,D,T
R,T,S,AH
D,D,IH,S
M,AH,N,T
AH,P,F,R
T,R,AH,S
IH,D,ER,AH
L,AO,NG,D
AH,L,T,S
AA,R,L,AH
ER,T,AH,L
F,R,AH,M
M,P,EH,R
AH,EH,K,AH
IH,NG,P,AH
L,OW,ER,D
S,EH,N,T
R,AA,B,L
HH,AO,L,T
D,IH,F,EH
V,ER,M,AH
JH,D,HH,EH
AE,G,M,AH
K,AE,P,AH
IH,NG,B,IH
ER,P,L,AH
S,IH,T,AH
AH,OY,L,M
S,T,EY,T
SH,B,AE,L
P,AO,R,T
S,DH,AH,N
R,Z,IH,N
T,IH,K,S
V,D,D,IH
IY,JH,OY,N
ER,AH,N,T
AW,T,L,EH
AH,M,W,IH
NG,Z,W,IH
M,AH,N,T
IH,SH,AH,N
B,AY,TH,R
P,F,R,AH
F,IH,SH,AH
T,G,EH,T
N,D,ER,S
F,AO,L,T
AH,D,D,IH
AE,N,D,AH
D,EH,R,L
S,AO,R,S
NG,L,IH,T
AH,L,AO,L
N,D,IH,N
N,T,R,IY
M,EH,TH,AH
N,T,UW,M
AA,R,IH,K
AY,T,IH,R
Y,UW,S,AH
AY,ER,Z,K
IH,T,S,K
IH,L,B,IY
K,K,R,EH
S,T,EY,T
EH,S,AW,T
L,AY,K,L
AE,T,M,AH
IY,D,AH,Z
OW,K,AA,Z
B,UW,S,T
HH,IY,AE,D
N,D,P,R
S,T,AH,D
AH,N,D,AH
AH,N,AH,L
AH,P,AH,L
V,DH,AH,L
L,Y,AH,N
AO,R,G,AH
AH,V,IH,R
UH,D,M,IY
JH,AH,N,S
V,EH,S,T
L,AO,S,AH
EY,K,ER,Z
M,AH,N,T
B,AE,N,D
T,M,AH,N
N,D,AH,S
D,AH,S,T
K,ER,AH,N
W,IH,DH,IH
G,AH,T,S
