Month,DayOfWeek,PdDistrict,X,Y,Category
May,Wednesday,CENTRAL,-122.405744762009,37.791498082842494,LARCENY/THEFT
May,Wednesday,TARAVAL,-122.48718586535401,37.7528149846179,SUSPICIOUS OCC
May,Wednesday,PARK,-122.43874173736799,37.779659315025796,LARCENY/THEFT
May,Wednesday,NORTHERN,-122.42341305720501,37.795737109246,OTHER OFFENSES
May,Wednesday,SOUTHERN,-122.40738897308701,37.7756106325157,BURGLARY
May,Wednesday,SOUTHERN,-122.41966671791701,37.7746823329875,ASSAULT
May,Tuesday,TARAVAL,-122.476555446478,37.756108068759495,OTHER OFFENSES
May,Tuesday,MISSION,-122.40633841268499,37.7530042877223,OTHER OFFENSES
May,Tuesday,TARAVAL,-122.46592276355,37.7574923528497,NON-CRIMINAL
May,Tuesday,NORTHERN,-122.4345637373,37.784150491588704,LARCENY/THEFT
May,Tuesday,TARAVAL,-122.49770432371,37.7247384376425,LARCENY/THEFT
May,Tuesday,TARAVAL,-122.467514101042,37.7658764339105,OTHER OFFENSES
May,Monday,NORTHERN,-122.427547316161,37.7743874920837,VEHICLE THEFT
May,Monday,NORTHERN,-122.431718384836,37.770034014141004,OTHER OFFENSES
May,Monday,SOUTHERN,-122.40984578319599,37.7752407085662,DRUG/NARCOTIC
May,Monday,MISSION,-122.415613440278,37.7693628812304,OTHER OFFENSES
May,Sunday,TARAVAL,-122.47010439701401,37.7414237082254,VEHICLE THEFT
May,Sunday,SOUTHERN,-122.403464080033,37.7785233776032,LARCENY/THEFT
May,Saturday,SOUTHERN,-122.399724574663,37.7832351787318,LARCENY/THEFT
May,Saturday,MISSION,-122.410600103463,37.7675325594031,VEHICLE THEFT
May,Saturday,MISSION,-122.427997868834,37.7517260359895,LARCENY/THEFT
May,Friday,PARK,-122.446432100907,37.750241057883,LARCENY/THEFT
Apr,Thursday,PARK,-122.439762815886,37.780424329861795,VANDALISM
Apr,Thursday,SOUTHERN,-122.407902468508,37.784253176872,LARCENY/THEFT
Apr,Thursday,CENTRAL,-122.41254519939,37.8019305813748,OTHER OFFENSES
Apr,Thursday,MISSION,-122.420629159814,37.7658091937535,WARRANTS
Apr,Thursday,SOUTHERN,-122.395985970867,37.77883482056821,LARCENY/THEFT
Apr,Thursday,TARAVAL,-122.47609606529801,37.75143288437761,LARCENY/THEFT
Apr,Wednesday,TARAVAL,-122.476962048966,37.7626195756298,OTHER OFFENSES
Apr,Wednesday,CENTRAL,-122.40883372829,37.8042489588778,OTHER OFFENSES
Apr,Wednesday,TENDERLOIN,-122.412993783039,37.78556296952871,DRUG/NARCOTIC
Apr,Wednesday,BAYVIEW,-122.38947153568199,37.7340319720999,NON-CRIMINAL
Apr,Wednesday,INGLESIDE,-122.436177137685,37.7142089386085,LARCENY/THEFT
