a_0,a_1,a_2,class
R,AY,P,IH
AH,M,AH,N
K,AH,M,S
IH,DH,DH,AH
R,EY,SH,AH
EH,S,S,EH
L,Y,AH,N
Z,F,AO,R
N,AH,D,IH
UW,IH,K,S
DH,AH,T,EH
P,L,AE,N
IH,K,L,IY
R,AA,F,AH
K,HH,OW,L
D,N,AA,T
IH,T,IH,Z
AH,M,AH,N
ER,Y,IH,R
ER,D,IH,S
D,IH,V,EH
S,IH,L,AH
D,EH,N,D
IH,NG,IH,T
N,T,R,AH
JH,UW,L,IH
AH,N,S,IH
S,IH,Z,AH
N,D,ER,Z
EH,D,DH,AH
K,L,AE,S
OW,Z,S,ER
R,AH,D,Z
N,S,AY,T
P,AO,R,T
N,N,UW,T
S,DH,AE,N
AY,M,Z,S
EH,K,T,L
R,IH,K,S
R,IH,Z,AH
Z,V,ER,S
S,W,IY,K
L,AE,N,IH
AE,T,DH,EH
AY,M,T,AH
AH,D,EH,N
AH,L,D,IH
AH,B,L,IY
AH,F,AO,R
N,AA,N,D
N,V,EH,S
P,AH,T,AH
N,HH,AY,ER
S,T,ER,D
IY,L,ER,Z
K,SH,AH,N
Z,M,EH,N
AH,S,L,IY
UW,N,AH,T
AH,L,K,L
NG,DH,AH,S
P,EY,P,ER
R,K,AH,T
T,AH,D,AH
EH,M,B,ER
N,ER,Z,IH
Z,AH,L,T
T,AH,JH,AH
P,L,AE,N
Z,W,UH,D
S,OW,K,AH
T,AH,N,S
Z,V,IY,EH
D,AH,G,R
DH,AH,S,T
AE,N,Z,IH
AA,F,AH,T
T,AH,T,IH
T,IH,S,T
N,D,AH,D
P,AO,R,T
OW,D,L,IY
AH,Z,DH,AH
K,S,AH,N
IH,N,DH,AH
AE,T,F,L
M,Z,AH,N
F,T,ER,N
IH,T,IH,Z
AA,K,AE,K
AH,P,AE,S
AH,G,R,IY
UW,SH,EH,R
OW,L,D,ER
ER,R,AY,T
D,IY,M,AH
AO,R,IY,S
IH,T,AH,N
AH,M,EY,T
P,EH,K,T
DH,OW,Z,K
D,IH,NG,Z
AH,M,DH,AH
AA,N,T,R
Z,EY,SH,AH
F,AA,P,ER
N,IY,S,EH
Z,D,IH,T
IH,K,W,EH
AH,V,S,ER
L,AY,K,L
N,D,P,R
IH,SH,UW,IH
R,AA,B,L
UW,HH,OW,L
S,IH,K,S
AA,M,AH,N
AA,K,AH,N
D,HH,IH,Z
IH,S,T,AH
T,UW,D,AH
V,IY,EH,S
ER,IH,NG,AH
EY,S,AH,S
S,OW,V,ER
AH,N,EH,R
K,R,IY,S
D,IH,T,S
HH,AE,P,AH
W,UH,D,EH
AH,T,R,IH
EH,D,ER,AH
V,ER,M,AH
AH,N,D,AH
T,EH,R,IY
R,OW,ER,Z
R,K,AH,T
AH,T,S,EH
R,IH,T,IH
G,EY,SH,AH
IH,N,AH,L
NG,AO,F,ER
EY,D,K,AH
AY,Z,D,AH
Z,IH,T,S
AH,P,AH,L
R,EY,D,AH
EH,D,IH,T
K,SH,AH,N
L,IH,NG,T
ER,N,UW,N
B,AH,L,T
AA,Z,F,ER
M,AH,N,T
Z,AH,V,K
M,P,AH,N
L,AY,S,AH
S,DH,AE,N
IH,NG,P,AH
N,K,EY,S
L,F,AA,R
AH,V,S,ER
EH,D,AH,L
R,AH,S,T
T,B,AE,K
IY,EH,S,L
M,S,IH,N
L,AH,T,IH
IH,DH,M,EH
M,EH,N,IY
DH,AH,D,IH
N,T,L,IY
AA,R,K,AH
AH,JH,IH,T
P,EY,D,IH
AH,L,EH,R
N,T,S,R
S,T,IH,L
F,ER,S,T
S,T,EH,S
Z,F,EH,L
K,EY,SH,AH
R,F,UW,D
AY,S,F,R
M,AH,N,T
AH,N,T,L
D,K,R,EH
N,L,IH,K
DH,AH,R,IY
T,R,EY,D
M,AA,R,K
EH,S,T,AH
IH,N,T,EH
IH,T,S,AH
AH,N,T,S
AH,L,IH,T
NG,K,S,EH
AO,Z,DH,AH
S,AO,R,S
S,EH,N,T
N,D,AH,K
IH,N,D,AH
IH,V,P,R
AO,R,P,R
L,HH,OW,L
G,EY,T,S
G,OW,W,EH
D,EH,L,AH
UW,S,ER,Z
AH,V,EY,L
OW,Z,AH,L
IH,DH,AH,S
IY,F,AO,R
G,R,IH,K
IH,NG,AA,N
AH,L,OW,AH
W,AA,Z,K
L,IH,S,T
T,B,ER,D
F,ER,AH,N
AE,Z,S,T
F,AO,L,IH
AH,N,S,AH
IH,V,AH,T
AE,N,IH,N
M,AH,N,T
T,S,R,IH
IY,B,IH,N
AH,T,ER,Z
T,S,IH,T
N,T,R,IY
D,IH,T,EH
R,IH,P,AH
N,D,ER,R
AW,N,S,T
K,IH,N,S
Z,T,UW,L
S,T,EH,N
IH,Z,N,IY
EH,R,IY,AH
R,AY,T,IH
T,IH,V,IH
D,AA,N,T
AH,N,W,IH
N,AH,F,IH
Z,AH,N,AH
N,T,AE,K
T,R,AY,IH
T,S,EH,S
B,AY,DH,AH
K,AE,S,T
AH,S,P,EH
R,EY,T,IH
D,IH,L,IH
EY,M,N,AH
EH,M,B,AH
AA,Z,IH,K
K,S,AE,T
Z,B,IY,S
N,D,DH,AH
N,D,IH,D
DH,AH,K,AH
K,AO,R,D
SH,UH,G,ER
AA,R,K,AH
DH,L,AO,S
D,B,IH,N
D,P,AA,R
T,M,EH,K
OW,R,IY,L
M,AO,R,IH
N,AH,S,T
S,IH,R,IY
JH,ER,N,IH
EY,L,OW,D
EH,D,IH,N
EY,S,AH,S
SH,AH,N,Z
AA,N,DH,AH
L,Y,AH,N
AH,D,AH,K
R,IH,S,T
DH,AH,R,IH
P,R,AH,D
AH,S,EH,S
IY,P,AO,R
IY,Z,AA,R
V,DH,IH,S
R,EH,S,IH
T,R,EY,D
T,UW,IH,T
OW,M,AA,R
AH,N,T,S
S,T,OW,L
AH,EH,N,D
K,AA,N,T
SH,AH,L,Z
AH,L,IH,N
AA,N,D,Z
ER,M,Z,D
AH,N,AE,T
EH,S,T,IH
Z,F,AO,R
ER,Z,AH,N
F,ER,M,Z
AA,N,D,Z
IH,SH,DH,AH
IH,P,M,AH
P,EH,K,T
T,AH,D,T
M,EY,K,IH
EH,N,T,S
EH,K,T,ER
T,AE,K,S
AH,N,Z,AH
UW,S,IH,K
N,IY,DH,AH
S,T,S,S
IH,D,AH,N
T,EH,D,AH
AH,N,EH,R
EY,T,M,AH
AH,M,P,L
W,IH,CH,IH
D,Z,W,IH
OW,Z,AH,L
N,T,R,AH
Z,IH,SH,AH
B,L,AE,K
AH,V,DH,AH
IY,V,IY,AH
D,AH,S,T
K,EY,T,IH
L,D,EH,S
AH,K,SH,AH
L,T,IH,N
M,AY,N,Z
SH,EH,R,Z
P,R,IH,Z
N,F,L,IH
K,T,IH,D
EY,L,Z,AH
T,W,AA,Z
ER,D,P,L
AH,S,AO,R
F,HH,AE,D
Z,T,UW,K
ER,AW,N,D
UW,V,D,N
K,AH,F,IH
AH,V,W,AH
N,Y,IH,R
SH,AH,L,Z
ZH,AH,N,Z
W,EY,K,AH
T,AH,N,Z
DH,AH,R,IH
N,K,AH,N
R,IH,T,IY
IH,M,AH,N
S,AH,B,S
IY,S,AH,K
F,AO,L,IH
AE,P,IH,T
R,DH,AE,N
G,AH,V,ER
S,N,IH,R
M,Z,CH,IY
Z,F,AO,L
AH,T,AH,L
UW,T,IY,Z
AO,R,P,R
IY,N,K,AH
AH,CH,AE,Z
IH,T,S,S
UW,D,AH,D
N,IY,D,Z
F,OW,K,AH
EH,D,IY,S
S,T,IH,L
Z,TH,R,IY
IH,NG,AH,N
V,M,AH,N
ER,EH,K,T
HH,AY,L,EH
AH,SH,AH,N
T,IH,K,D
N,IH,S,T
S,AH,Z,IH
UW,T,EH,K
M,IY,N,Z
AO,F,ER,D
T,UW,DH,AH
IY,AH,S,AH
S,V,EH,R
N,S,AH,L
T,UW,AH,T
N,ER,S,T
IY,K,IH,N
W,IH,L,IH
L,AE,N,IH
IH,L,Y,AH
DH,AH,F,ER
ZH,AH,N,T
IY,Z,AH,N
D,ER,Z,AH
M,AO,R,S
F,AO,R,AH
ER,V,Z,N
N,AE,N,S
AH,P,AE,S
AE,NG,K,S
L,P,R,AH
AH,G,R,IY
F,AO,R,IH
N,DH,AH,S
AH,S,P,EH
OW,Z,D,IH
AH,SH,IY,N
AE,S,T,ER
ER,K,S,T
ER,AH,L,D
AH,N,T,AH
M,EH,G,AH
T,EY,T,AH
AA,R,T,AH
UW,S,AE,T
AE,S,P,R
IY,AH,V,D
AE,CH,ER,AH
K,T,P,R
AE,Z,B,IH
V,G,EH,R
L,B,IY,R
Y,IH,R,IH
P,AE,S,AH
R,AH,M,K
AW,OW,N,Z
IY,K,AH,N
Z,EH,N,T
N,L,AY,K
D,DH,EH,N
DH,EH,R,N
AH,L,EH,R
P,R,EY,Z
EH,R,AH,T
HH,IY,AO,L
IY,D,IY,AH
S,P,EH,K
D,T,OW,T
AO,R,DH,AH
T,UW,IH,N
AH,T,IH,D
AA,T,IH,L
S,B,AO,R
T,IH,T,ER
IH,T,S,T
T,ER,DH,AH
AH,V,DH,AH
Y,UW,DH,AH
Y,AH,N,IH
V,AH,F,IH
AH,N,Y,EH
V,IY,EH,S
S,T,DH,AH
F,IH,SH,AH
P,R,OW,D
S,T,IH,D
IH,NG,F,EH
P,L,IY,T
D,IH,N,T
AH,N,TH,L
AH,V,EH,N
P,AH,N,IY
N,IH,N,K
S,IH,T,S
T,IY,IH,N
ER,EY,T,S
K,W,AO,R
IH,N,V,EH
AH,F,EH,D
D,ER,AH,L
N,IY,IH,N
DH,AH,IH,K
AY,ER,D,T
EH,S,T,IH
F,AE,S,EH
D,IH,T,IH
P,AH,N,IY
T,UW,B,IY
L,IH,R,R
D,R,IH,Z
AH,N,TH,T
N,T,AH,N
ER,L,IY,ER
EH,N,T,T
L,CH,EY,N
R,IY,D,T
K,W,AY,ER
L,AE,N,T
IH,T,S,D
AA,R,K,AH
DH,AH,R,IH
IY,M,AH,N
V,R,IY,S
M,AH,N,T
AH,N,AH,L
K,AH,N,D
K,AH,N,S
R,AH,D,AH
SH,AH,N,Z
Z,IH,N,K
D,AH,S,T
M,AH,N,S
N,IY,AH,N
R,AO,N,AH
D,IH,V,IH
IY,L,AE,S
AH,V,F,R
R,IY,S,ER
N,S,EY,IH
D,JH,OY,N
SH,AH,L,T
N,IY,EH,S
AH,JH,ER,Z
B,AH,T,R
ER,T,UW,EH
T,UW,DH,AH
Y,UH,R,AH
D,DH,AH,EH
D,IH,NG,AH
Z,K,AH,S
T,R,AH,D
AH,T,IH,Z
EH,K,S,AH
EH,V,AH,D
M,ER,AO,R
R,AH,N,D
AH,M,P,AH
L,AH,N,D
T,W,IY,K
AH,N,D,AH
AY,ER,DH,AH
G,R,IY,D
UW,T,ER,Z
AA,N,DH,AH
R,EY,T,AH
EH,D,IH,T
EH,K,Y,AH
UH,M,AH,N
L,IY,K,AH
T,R,AH,S
AA,B,L,AH
AH,N,SH,EH
N,D,Z,IH
IY,L,D,K
T,UW,SH,EH
S,B,AO,R
F,L,EH,K
D,ER,W,IH
M,AH,N,T
T,F,AO,R
AH,K,AA,N
TH,M,AO,R
V,AE,S,EH
R,EH,F,ER
DH,AH,S,T
N,D,P,R
S,N,AY,N
S,AH,V,N
W,IH,L,L
AO,R,TH,IY
ER,EY,SH,AH
N,T,AH,D
V,IY,HH,IH
N,JH,AH,N
SH,AH,N,Z
Z,HH,AE,D
B,AE,G,Z
P,R,AY,S
IH,K,K,AH
N,EH,K,S
IY,T,UW,K
S,IH,V,T
IH,L,EH,K
K,AH,S,T
AY,AH,G,R
R,IY,S,T
L,AH,V,D
AH,V,D,IH
T,UW,AH,K
S,T,IH,D
AH,N,D,K
AO,R,T,ER
P,AH,N,IY
N,W,AH,N
T,DH,AE,T
N,EH,K,S
M,IH,N,IH
R,OW,K,ER
HH,OW,L,D
L,OW,Z,D
R,UW,M,EH
N,EH,R,IY
M,P,AH,N
IH,S,T,IH
W,AO,N,T
S,IH,N,AH
IH,P,EH,N
NG,IH,T,S
N,D,ER,S
EY,M,AA,N
N,D,B,R
IY,L,ER,Z
R,UW,P,AH
JH,ER,K,AH
Z,P,EY,D
R,OW,K,ER
IH,K,AH,N
R,AA,B,L
DH,M,EH,N
N,IH,K,AH
AO,R,T,AH
M,EY,K,N
T,S,AE,T
AH,L,AE,S
AE,D,HH,IY
DH,AH,B,IH
AA,N,AE,N
S,IH,T,AH
R,AE,N,S
HH,OW,L,D
AA,N,S,T
Z,W,AH,N
AH,G,R,IY
K,AO,Z,AH
IY,EY,T,AH
K,T,IH,D
R,JH,AH,S
AO,R,DH,AH
T,N,ER,Z
IY,OW,V,ER
IH,K,AH,L
UW,R,EY,Z
B,ER,EH,K
DH,AH,N,AH
N,T,UW,K
T,W,IH,L
T,ER,DH,AH
T,ER,W,IH
N,D,IH,T
L,Z,W,IH
ER,IH,T,S
AH,N,T,IH
S,T,AA,K
W,IH,L,EH
AA,F,AH,T
L,S,IH,N
ER,R,IH,N
B,R,OW,K
F,L,AE,T
AA,T,HH,EH
IH,P,AA,R
R,W,AA,Z
AH,B,S,IH
AH,SH,AH,N
V,AH,T,AH
AA,M,IH,K
D,EH,N,D
Z,IH,SH,AH
EH,P,SH,AH
T,R,UW,L
M,EH,N,T
R,AA,B,L
DH,AH,K,AH
AO,R,M,IH
AE,P,L,AH
T,W,AA,Z
AH,L,P,R
CH,ER,IH,N
N,IY,S,EH
L,Y,AH,N
IY,P,AO,R
R,B,IH,L
ER,B,IH,D
M,P,EH,T
S,W,IY,K
P,AA,R,T
R,UW,AH,T
AW,ER,Z,AH
NG,K,W,AH
EH,P,Y,AH
T,AH,D,IH
S,AH,P,AH
AA,Z,AH,T
AH,K,SH,AH
AY,Z,D,L
IH,SH,AH,N
T,UW,DH,AH
UW,D,ER,EH
B,IY,AH,L
M,AH,N,T
R,IY,D,AH
AH,P,R,EH
HH,IH,Z,N
EY,EH,S,N
AH,V,AH,R
M,AH,N,T
AH,N,V,ER
K,L,IH,N
OW,N,Z,AH
IH,CH,K,AH
V,IY,EH,S
D,IH,T,AH
T,R,IY,T
IY,R,AH,K
AH,L,B,IH
S,AH,K,R
AE,Z,IH,K
AE,K,T,IH
IY,R,AH,N
DH,AH,T,R
R,EY,D,N
D,UH,R,IH
K,W,AO,R
P,OW,K,S
AH,M,P,L
D,CH,EH,K
IY,Z,D,T
EH,JH,T,AH
T,L,AE,N
S,ER,IH,N
AH,T,S,T
N,EH,N,T
IH,NG,Z,R
V,IH,N,T
T,UW,F,AH
D,M,AH,N
IH,M,AH,L
P,R,AY,S
DH,AH,F,R
T,R,IY,Z
AH,V,D,IH
R,AA,F,AH
D,ER,D,AH
ER,F,R,AH
OW,T,AH,L
IH,S,K,L
V,Y,UW,D
S,M,AH,N
N,T,R,IY
AH,N,D,IH
AA,N,DH,AH
R,SH,AH,L
T,UW,EH,N
SH,IH,P,IH
Z,IH,Z,D
Y,IH,R,Z
N,JH,S,EH
AH,Y,IH,R
T,R,AE,K
N,T,AH,T
EY,SH,AH,N
IH,N,T,ER
AH,D,IH,S
IH,L,D,IH
T,IH,D,R
N,T,AE,T
AH,S,B,AH
D,IH,K,T
R,AH,V,S
R,AH,G,R
T,S,AY,D
P,AE,S,AH
UW,N,AH,T
AH,T,IY,D
K,IH,K,S
W,AH,N,IH
K,ER,AH,N
UH,D,R,IH
R,UW,DH,IH
S,T,R,IY
DH,AH,S,AH
K,AA,F,IY
T,UW,DH,AH
L,AY,DH,AH
F,EY,L,D
B,AE,G,Z
Z,W,AO,N
AH,M,AY,Z
V,Y,UW,AH
L,AE,F,T
JH,AH,S,T
AH,JH,AH,S
T,ER,N,T
S,K,ER,AH
IH,L,Y,AH
K,W,OW,T
S,L,AO,S
K,AA,S,T
AE,P,AH,T
M,AE,N,D
P,AH,N,IY
ER,CH,AH,S
AE,T,DH,AH
S,T,ER,L
S,T,AA,R
M,EH,S,T
T,IH,NG,S
AH,R,EH,L
IH,L,AH,T
IH,L,B,IY
T,R,IY,Z
ER,M,Z,AH
OW,S,D,AH
V,B,IH,L
AH,K,SH,AH
P,EH,SH,L
AH,T,AE,K
Z,AH,F,ER
IH,N,D,IH
