a_0,a_1,a_2,class
OW,N,AO,R
T,W,IY,K
T,M,AH,N
AH,B,S,IH
T,DH,AE,T
T,DH,AH,T
UW,S,EH,D
EH,K,W,AH
AA,K,P,R
P,EY,Z,N
AH,L,IH,S
AO,R,N,S
Z,AH,N,D
UW,R,EH,K
IH,T,S,T
IY,B,IH,L
IH,P,IH,K
CH,HH,AE,Z
W,EY,T,S
SH,AH,N,T
AH,S,T,R
AH,V,DH,AH
T,ER,DH,AH
N,EH,N,T
L,IH,S,T
N,F,IH,S
F,AO,R,AH
P,AH,L,IH
L,AO,NG,T
EH,D,DH,AH
EH,K,W,AH
IY,EH,S,L
IH,N,K,L
L,CH,AA,R
Y,UW,Z,D
L,IH,SH,T
SH,AH,N,Z
P,IY,T,IH
N,V,AA,L
T,AH,N,Z
P,AO,R,T
R,EH,D,IH
AH,K,AW,N
N,T,AA,R
AH,M,IH,N
R,AH,B,AH
IH,NG,DH,AH
EY,SH,AH,N
W,IH,K,L
K,L,IY,T
D,R,AH,D
D,T,UW,D
JH,AA,B,AH
ER,M,Z,IH
EH,D,AO,R
SH,AH,N,Z
AH,D,UW,S
IH,N,S,T
ER,M,D,AH
EH,K,SH,AH
AH,Z,AE,T
M,R,IH,S
AH,P,AO,R
S,K,AH,L
IH,R,DH,AH
R,T,ER,Z
N,ER,Z,IH
AO,F,AA,N
R,K,AH,T
B,UH,K,S
AH,P,IH,R
IH,D,B,IH
K,S,T,R
D,IH,T,S
P,AA,Z,IH
ER,IY,L,IH
EH,F,AH,S
M,ER,AE,Z
N,AH,V,IH
R,K,AH,T
ER,D,IH,S
T,AH,L,IH
UW,IH,K,S
K,AH,T,K
N,IH,N,IH
D,S,AY,K
F,ER,S,T
ER,S,T,K
IH,L,S,AH
IH,T,D,IH
IY,L,EH,S
AH,S,EH,D
AH,N,T,S
IY,AH,N,D
Z,AH,N,D
Y,IH,R,Z
T,R,IY,S
L,AY,K,L
IH,NG,DH,IH
ER,N,EH,T
AH,R,IH,Z
R,IH,N,S
Y,UW,Z,D
AH,M,P,AH
AA,R,K,AH
HH,OW,L,D
EH,M,AE,N
L,N,IY,D
V,IY,EH,S
T,AE,K,S
D,AH,K,T
F,AO,R,IH
AH,M,IH,T
K,ER,Z,D
OW,L,IY,AH
S,AH,P,L
AO,R,S,AH
AH,T,AH,L
IH,S,T,AH
M,OW,S,T
AH,L,K,AH
M,OW,S,T
AH,L,AA,R
EY,M,AH,N
T,S,EH,D
UW,S,AE,T
R,AE,F,T
S,IH,N,IH
T,R,AY,IH
M,EY,K,S
ER,EY,SH,AH
UW,P,K,AH
T,D,IH,D
Z,AH,V,D
AO,R,DH,AH
N,AH,B,AH
D,AH,D,AH
K,T,DH,AH
ER,M,AH,N
D,IH,S,K
AH,V,DH,AH
AE,NG,K,S
R,AE,V,AH
AH,JH,UH,R
AH,N,IY,D
B,UH,SH,AH
R,M,ER,Z
N,D,IH,N
S,P,OW,S
S,P,R,AH
V,AY,Z,D
HH,AE,D,R
AH,Y,IH,R
P,EH,K,T
W,IH,L,N
DH,AH,D,R
DH,ER,D,AH
IY,F,EH,D
ER,DH,AH,IH
S,IH,NG,IH
K,AH,L,Z
L,D,OW,N
F,EY,S,IH
S,EH,N,T
DH,AH,R,IH
P,AW,ER,AH
IH,S,Y,IH
AH,N,IH,T
P,Y,AH,L
T,L,AE,S
L,AE,S,T
M,EH,N,T
AE,N,AE,N
AO,R,AH,N
V,IY,AH,S
T,S,IH,N
IY,N,AH,N
ER,F,AO,R
AH,N,AH,D
EH,D,IH,T
P,IY,Z,AH
R,EH,D,AH
R,EH,N,D
T,K,AH,S
P,AA,R,L
ER,AW,N,D
AO,Z,IH,T
R,OW,Z,T
AE,N,SH,AH
S,DH,AH,S
K,N,OW,K
EH,S,T,IH
T,R,AY,Z
N,EH,K,S
R,IY,S,T
T,AH,K,AH
IH,N,AH,K
OW,T,AH,Z
S,EH,T,AH
B,EY,S,IH
L,F,IH,Z
IY,V,IH,N
AH,L,D,S
T,UW,DH,AH
IH,Z,AH,L
F,ER,S,T
K,L,AY,N
K,SH,AH,N
N,EH,S,T
L,P,R,AH
R,N,AA,T
AH,D,UW,S
IH,N,D,AH
P,OW,N,D
Z,T,UW,D
AE,K,T,N
OW,L,IY,AH
DH,AH,B,AH
P,EH,K,T
EY,L,D,T
Z,AE,K,T
S,T,B,AH
OW,TH,IH,N
T,IH,T,S
Z,S,EH,D
W,AY,AH,T
HH,AE,D,AH
ER,IH,NG,S
NG,T,AH,D
IY,Y,AA,L
ER,T,UW,R
UH,L,IY,AH
R,AY,S,IH
AA,R,K,AH
Z,W,ER,D
CH,K,AH,T
EH,D,IH,T
D,IH,N,AH
S,AY,N,D
OW,S,T,IH
AH,K,AH,N
B,AE,NG,K
D,EH,T,K
IH,R,IY,AH
IY,D,P,R
IH,D,AH,N
ER,R,IH,T
IH,N,K,R
ER,D,IH,N
T,W,AA,Z
OY,L,AW,T
D,EH,K,S
S,L,AY,T
M,AH,N,T
T,T,UW,R
L,Z,AA,N
ER,L,IY,AH
HH,EH,D,S
R,EY,D,IH
JH,ER,Z,S
T,OW,T,AH
D,Z,W,IH
IY,Z,AA,N
AH,G,EH,N
AA,N,DH,AH
Y,UW,N,AH
T,OW,T,AH
AE,N,SH,AH
V,ER,AO,L
AH,K,AO,R
D,DH,AH,L
SH,AH,N,D
K,AA,N,T
IY,AH,S,R
S,AH,N,D
IH,SH,AH,L
AH,T,AO,K
S,T,AH,D
EH,T,ER,AH
R,K,AH,T
IY,EH,N,T
Z,AH,N,D
Z,EY,B,AH
R,N,UW,S
DH,AH,P,IH
T,EY,B,AH
AE,P,AH,T
D,Z,F,R
AH,M,P,R
M,AW,N,T
L,OW,Z,D
IH,V,AH,T
L,IH,NG,T
S,EH,D,IH
AH,V,W,AH
V,R,IH,S
IH,L,D,R
SH,AH,L,T
R,T,IY,Z
AH,N,P,R
AE,SH,AH,N
W,ER,K,K
S,P,AO,R
IH,T,IH,Z
ER,EY,T,T
Z,F,AO,R
OW,K,AH,L
AH,B,AW,T
EY,T,IH,D
IH,Z,EH,N
T,AH,D,IH
AA,N,DH,AH
EY,T,AH,D
AH,P,AO,R
T,S,IH,N
P,OY,N,T
R,AY,Z,D
OW,W,IH,L
D,HH,EH,L
ER,S,UW,IH
R,AA,P,T
T,S,F,R
Z,F,R,AH
T,S,AE,Z
JH,AH,S,T
OW,D,AH,R
AO,F,IH,S
AO,R,T,T
ER,F,R,AH
R,IH,Z,AH
AA,T,AH,T
S,AH,Z,IH
K,W,AY,T
AH,T,IY,Z
N,T,S,IH
SH,AH,N,T
L,Y,AH,N
T,OW,L,D
B,AH,T,S
IY,OW,K,AH
L,AE,N,AH
N,S,EH,D
D,AH,S,T
D,DH,AH,T
L,Y,AH,N
T,UW,DH,AH
N,IY,D,Z
W,UH,D,AH
IY,IH,R,AH
K,S,AA,N
T,IH,D,T
AA,R,K,AH
EY,D,P,R
Z,IH,N,K
UW,T,ER,Z
IH,R,IY,Z
L,EH,K,T
AY,N,D,R
D,W,IH,L
NG,T,AA,R
AE,Z,Z,IH
Z,AH,T,IH
TH,T,AA,R
SH,AH,N,IH
N,D,AO,R
D,DH,EH,R
DH,AH,IH,K
D,T,UW,L
S,EH,N,D
AY,S,AH,Z
L,AH,S,AH
AH,M,P,AH
SH,IH,NG,S
EH,N,IY,S
DH,AH,G,AH
W,ER,D,R
IH,S,Y,IH
F,EH,L,T
N,TH,K,AH
IH,K,AH,N
P,R,AH,D
SH,AH,L,L
M,AH,N,T
IH,R,Z,L
T,UW,K,R
L,P,R,AH
UW,M,ER,D
T,IH,SH,AH
D,W,AY,D
R,AE,T,AH
S,T,AA,N
D,DH,AH,S
ER,P,L,AH
IH,L,Y,AH
P,T,AH,N
CH,R,IH,S
K,W,AH,Z
IH,SH,AH,N
AH,L,K,AH
EH,K,Y,AH
AH,N,IY,D
EH,S,ER,AH
UW,T,ER,Z
N,S,EH,D
OW,T,S,IH
OW,L,IY,AH
S,AH,G,N
Y,UH,R,AH
IY,Z,AH,N
D,R,IY,S
Z,T,UW,K
AE,S,T,T
D,IH,V,IH
K,L,IY,T
T,AH,N,D
DH,JH,AH,S
EY,L,Z,AH
AE,N,Z,T
EY,SH,AH,N
EH,N,D,AH
D,AW,N,K
V,CH,EH,R
S,T,Y,IH
IY,R,IH,L
V,DH,AH,K
EH,D,AH,T
B,AE,K,T
Y,ER,S,IH
AH,L,S,L
N,D,HH,IH
AH,G,EH,N
T,IH,D,T
W,IY,K,T
Z,AH,M,Z
AH,V,DH,AH
HH,IY,AO,L
N,AE,N,S
DH,AH,S,T
IY,P,EY,D
V,IH,T,S
